DISNO,STATEA,NAMEA,STATEB,NAMEB,STRTDAY,STRTMNTH,STRTYR,YEAR,ENDDAY,ENDMNTH,ENDYEAR,OUTCOME,SETTLMNT,FATLEV,HIGHACT,HIHOST,RECIP,NOINIT,NOTARG,STDAYA,STMNTHA,STYEARA,ENDDAYA,ENDMNTHA,ENDYEARA,SIDEAA,REVSTATA,REVTYPEA,FATALEVA,HIGHMCAA,HIHOSTA,ORIGNATA,STDAYB,STMNTHB,STYEARB,ENDDAYB,ENDMNTHB,ENDYEARB,SIDEAB,REVSTATEB,REVTYPEB,FATALEVB,HIGHMCAB,HIHOSTB,ORIGNATB,ROLEA,ROLEB,WAR,Durindx,Cumdurat,Duration,MID3HIact,MID3HIA,MID3HIB
2,2,USA,200,UKG,1,7,1902,1902,24,1,1903,0,0,0,7,3,0,1,1,1,7,1902,24,1,1903,1,1,1,0,7,3,1,1,7,1902,24,1,1903,0,1,1,0,1,1,1,1,3,0,1,183,183,7,7,0
2,2,USA,200,UKG,1,7,1902,1903,24,1,1903,6,1,0,7,3,0,1,1,1,7,1902,24,1,1903,1,1,1,0,7,3,1,1,7,1902,24,1,1903,0,1,1,0,1,1,1,1,3,0,2,207,24,7,7,0
3,300,AUH,345,YUG,2,5,1913,1913,25,10,1913,4,3,0,10,3,0,1,1,2,5,1913,25,10,1913,1,1,2,0,10,3,1,2,5,1913,25,10,1913,0,0,0,0,1,1,1,1,3,0,1,177,177,8,8,0
4,200,UKG,339,ALB,15,5,1946,1946,13,11,1946,5,3,2,19,4,1,1,1,15,5,1946,13,11,1946,0,0,0,2,8,3,1,15,5,1946,13,11,1946,1,0,0,0,19,4,1,3,1,0,1,183,183,16,7,16
7,200,UKG,651,EGY,13,10,1951,1951,26,1,1952,0,0,0,18,4,1,1,1,13,10,1951,26,1,1952,1,0,0,0,18,4,1,13,10,1951,26,1,1952,0,1,2,0,18,4,1,1,3,0,1,79,79,17,17,17
7,200,UKG,651,EGY,13,10,1951,1952,26,1,1952,1,3,2,18,4,1,1,1,13,10,1951,26,1,1952,1,0,0,1,18,4,1,13,10,1951,26,1,1952,0,1,2,2,18,4,1,1,3,0,2,105,26,17,17,17
8,200,UKG,630,IRN,1,7,1856,1856,14,3,1857,0,0,0,22,5,1,1,1,1,7,1856,14,3,1857,1,1,2,0,22,5,1,1,7,1856,14,3,1857,0,0,0,0,22,5,1,1,3,1,1,183,183,20,20,20
8,200,UKG,630,IRN,1,7,1856,1857,14,3,1857,1,2,6,22,5,1,1,1,1,7,1856,14,3,1857,1,1,2,6,22,5,1,1,7,1856,14,3,1857,0,0,0,6,22,5,1,1,3,1,2,256,73,20,20,20
9,200,UKG,235,POR,29,12,1889,1889,10,1,1890,0,0,0,8,3,0,1,1,29,12,1889,10,1,1890,1,1,1,0,8,3,1,29,12,1889,10,1,1890,0,0,0,0,1,1,1,1,3,0,1,2,2,7,7,0
9,200,UKG,235,POR,29,12,1889,1890,10,1,1890,6,1,0,8,3,0,1,1,29,12,1889,10,1,1890,1,1,1,0,8,3,1,29,12,1889,10,1,1890,0,0,0,0,1,1,1,1,3,0,2,12,10,7,7,0
